Metadata section
timestamp: 2026-04-21_14-47-25
humidity: 21.390914
temperature: 24.548912
temperature2: 26.30446
temperature3: 26.44
gyro_offset_xyz: 0.03581681, 0.0179867384 -0.0016721551
gyro_sf: 0.017453292
accel_sf: 9.80665
gyro_so: 131
accel_so: 16384
accel_x accel_y accel_z
-1.2836131594546532 0.3145291523414345 10.542092471843509
0.2576728748068006 -0.3569043276661515 -9.309715610510047
9.785668333333334 -0.18692143333333333 2.230744833333333
-9.763 -0.137790325 0.7142594
0.2816517666666667 9.8305725 0.4707518
-0.03514105133333333 -9.8330725 0.9536451666666667

Data section
time gyro_x gyro_y gyro_z accel_x accel_y accel_z pressure
169108 0.0045522524 -0.00732824 0.008200485 -1.3359646 0.44532152 10.529699 98765.08
169117 -0.000776995 -0.0026651472 0.0014056927 -1.364695 0.45250412 10.4171716 98765.08
169128 0.002820246 0.0013317894 -0.0004595447 -1.3311762 0.4309563 10.563218 98765.08
169138 -0.001709614 0.0031970274 0.0015389238 -1.3862428 0.380678036 10.551247 98764.416
169147 0.0045522524 0.002530871 0.0012724614 -1.4030022 0.40462008 10.553641 98765.08
169158 0.0032199398 0.0014650226 0.0018053864 -1.3359646 0.39264908 10.534488 98765.08
169168 2.239272e-05 0.0019979458 0.0020718488 -1.3623008 0.45968672 10.505757 98765.08
169177 0.0024205558 -5.2154064e-07 -0.0057887944 -1.3814544 0.4237737 10.429143 98765.08
169188 -0.000776995 -0.0022654534 -0.00179185732 -1.3838486 0.4189853 10.474632 98765.08
169198 -0.00037730112 -0.0004002154 -0.004056788 -1.3910312 0.39504328 10.560823 98764.416
169207 -0.0038413144 -5.2154064e-07 -0.00179185732 -1.340753 0.45250412 10.575189 98764.416
169218 -0.0006437637 0.00173148516 0.0016721551 -1.3479356 0.4429273 10.5680068 98764.416
169228 0.0026870184 -0.0046636156 0.0011392301 -1.3670892 0.4285621 10.551247 98764.416
169246 0.0014879368 -0.0022654534 -0.002857707 -1.3503298 0.46208092 10.505757 98764.416
169255 -0.0030419268 0.00346349 -0.0036570942 -1.3239936 0.39504328 10.517728 98764.416
169268 -0.0013099201 0.0011985581 0.0022050802 -1.3623008 0.3854665 10.529699 98763.736
169278 0.0012214705 0.00346349 0.00047307404 -1.412579 0.39025488 10.493786 98764.416
169288 0.0022873246 -0.0009331405 0.005535861 -1.4197616 0.40940848 10.520123 98764.416
169298 -0.00011083856 -0.0009331405 -0.0029909382 -1.3670892 0.4357447 10.508151 98764.416
169308 0.006550722 0.002530871 -0.006055257 -1.3623008 0.4405331 10.529699 98763.736
169317 -0.0013099201 0.0033302586 0.0010059989 -1.3694834 0.4237737 10.532093 98763.736
169328 -0.00091022624 0.0026641022 0.0019386176 -1.316811 0.40701428 10.527305 98764.416
169338 0.002020862 0.0035967212 -0.000592776 -1.3599066 0.39264908 10.517728 98764.416
169347 -0.0037080832 0.00066563488 -0.0012589322 -1.3575124 0.4165911 10.524911 98764.416
169357 -0.0015763827 0.00026594102 0.002738005 -1.3742718 0.4357447 10.517728 98764.58
169368 0.002820246 -0.002132222 0.0006063052 -1.400608 0.45489832 10.505757 98764.58
169376 -0.0014431514 0.0018647146 0.00047307404 -1.4149732 0.4333505 10.546458 98764.58
169387 0.000155624 -0.0015992969 -0.0004595447 -1.3670892 0.4189853 10.601525 98764.58
169397 0.0005553141 0.0011985581 -0.00019308226 -1.364695 0.39983168 10.498574 98764.58
169416 -0.00091022624 -0.005329772 -0.000592776 -1.364695 0.45729252 10.520123 98764.58
169425 0.00028885528 0.0019979458 -0.002857707 -1.4030022 0.45729252 10.5919484 98764.58
169435 0.0013547056 -0.0023986836 0.0020718488 -1.2976574 0.4285621 10.486604 98764.58
169447 -0.0013099201 0.0014650226 0.00340416136 -1.3670892 0.4261679 10.515334 98764.58
169457 0.00068854916 0.002131179 -0.0016586258 -1.3862428 0.4165911 10.575189 98765.25
169467 -0.0034416206 0.0033302586 0.0026047738 -1.4101849 0.40222588 10.579977 98764.58
169478 0.0012214705 0.0029305666 -0.002191551 -1.3670892 0.40222588 10.512939 98764.58
169487 0.005218409 -0.0026651472 -0.0032574008 -1.3551182 0.4261679 10.515334 98764.58
169497 -0.0021093078 0.00173148516 -0.0047229444 -1.388637 0.39983168 10.493786 98764.58
169508 -0.003574852 -0.00053344668 0.0010059989 -1.3982138 0.4213795 10.522516 98764.58
169517 0.005351644 0.0005324017 -0.0016586258 -1.4173674 0.40701428 10.500969 98764.58
169568 -0.0005105324 -0.000799909236 0.00047307404 -1.412579 0.40222588 10.534488 98763.91
169586 0.0025537834 0.0014650226 0.0038038548 -1.3120226 0.41180268 10.551247 98763.91
169596 0.0045522524 0.002131179 7.338019e-05 -1.3311762 0.4213795 10.529699 98763.91
169605 -0.0014431514 0.0018647146 -0.0004595447 -1.3670892 0.4261679 10.508151 98763.91
169616 0.0030867122 -0.005862696 0.0026047738 -1.3982138 0.46447512 10.479421 98763.91
169626 -0.000776995 -0.0035977652 -0.00072600708 -1.4508862 0.4261679 10.556035 98763.91
169635 -0.0011766888 -0.00066667796 0.0007395364 -1.364695 0.366312868 10.551247 98763.91
169645 -0.0011766888 0.0018647146 -0.0029909382 -1.3982138 0.40940848 10.553641 98764.58
169656 -0.0033083894 0.0027973336 -0.00072600708 -1.4077906 0.40701428 10.529699 98764.58
169667 0.0026870184 0.0013317894 7.338019e-05 -1.3742718 0.4309563 10.54167 98764.58
169677 0.0012214705 -0.002531915 0.002738005 -1.3838486 0.4261679 10.520123 98764.58
169687 -0.005040394 -0.0026651472 0.00087276765 -1.3551182 0.40462008 10.493786 98764.58
169697 -0.0034416206 -0.0027983776 -0.0016586258 -1.328782 0.4213795 10.572795 98764.58
169707 0.0032199398 0.00093209748 0.0007395364 -1.364695 0.39983168 10.606314 98764.58
169717 2.239272e-05 0.0013317894 0.0006063052 -1.3814544 0.45489832 10.553641 98764.58
